index,tag,gpu_time_ms,roundtrip_ms,batch_size,effective_ms_per_deposit,response_bytes,timestamp,error
0,sequential,543,564,1,543,697,2026-07-01T06:26:45.092Z,
1,sequential,484,505,1,484,697,2026-07-01T06:26:45.597Z,
2,sequential,549,568,1,549,697,2026-07-01T06:26:46.165Z,
3,sequential,496,516,1,496,697,2026-07-01T06:26:46.681Z,
4,sequential,487,497,1,487,697,2026-07-01T06:26:47.178Z,
5,sequential,524,534,1,524,697,2026-07-01T06:26:47.712Z,
6,sequential,495,517,1,495,697,2026-07-01T06:26:48.229Z,
7,sequential,559,578,1,559,697,2026-07-01T06:26:48.807Z,
8,sequential,492,503,1,492,697,2026-07-01T06:26:49.310Z,
9,sequential,496,502,1,496,697,2026-07-01T06:26:49.813Z,
0,concurrent,481,495,1,481,697,2026-07-01T06:26:50.310Z,
1,concurrent,550,567,1,550,697,2026-07-01T06:26:50.382Z,
2,concurrent,511,525,1,511,697,2026-07-01T06:26:50.341Z,
3,concurrent,510,526,1,510,697,2026-07-01T06:26:50.342Z,
4,concurrent,554,566,1,554,697,2026-07-01T06:26:50.383Z,
